
instance_exp_N80_K6_nzP0d15_p8_g1_l5_numa3.txt
Trivial,17712,1
refined,8221,70
cilk,55863,114
BSPg,48641,106
BSPgHCCS,27108,74
ETF,77914,221
BL-EST,78235,247
ILPiter,26599,74
0

instance_CG_N24_K22_nzP0d2_p8_g1_l5_numa3.txt
Trivial,16296,1
refined,11116,127
cilk,54996,215
BSPg,51155,301
BSPgHCCS,29057,168
ETF,25514,231
BL-EST,34396,317
source3_weights_cluster,56709,303
source3_weights_clusterHCCS,15064,136
ILPiter,13954,136
ILPCS,11080,127
0

instance_exp_N25_K4_nzP0d15_p8_g1_l5_numa3.txt
Trivial,1136,1
refined,730,16
cilk,4140,32
BSPg,4358,57
BSPgHCCS,2287,25
ETF,4294,40
BL-EST,3964,51
source3_weights_cluster,3294,47
source3_weights_clusterHCCS,1126,20
ILPiter,1117,20
ILPCS,730,16
0

instance_kNN_N30_K10_nzP0d15_p8_g1_l5_numa3.txt
Trivial,3673,1
refined,1962,36
cilk,10815,53
BSPg,9857,69
BSPgHCCS,5359,37
ETF,3774,54
BL-EST,4317,66
ILPiter,5339,37
ILPCS,1840,36
0

instance_kNN_N55_K14_nzP0d15_p8_g1_l5_numa3.txt
Trivial,17722,1
refined,7906,74
cilk,54865,132
BSPg,41980,125
BSPgHCCS,25582,77
ETF,19208,136
BL-EST,18267,262
ILPiter,25467,77
0

instance_exp_N30_K6_nzP0d15_p8_g1_l5_numa3.txt
Trivial,2423,1
refined,1337,24
cilk,7246,40
BSPg,6552,51
BSPgHCCS,3413,25
ETF,8565,61
BL-EST,10407,83
source3_weights_cluster,7826,45
source3_weights_clusterHCCS,3791,24
ILPiter,3170,25
ILPCS,1296,24
0

instance_spmv_N150_nzP0d2_p8_g1_l5_numa3.txt
Trivial,17726,1
refined,9383,2
cilk,28755,34
BSPg,16281,3
BSPgHCCS,14391,3
ETF,17450,4
BL-EST,33388,27
source3_weights_cluster,92214,3
source3_weights_clusterHCCS,12559,2
ILPiter,10274,2
0

instance_snni_graphchallenge_1024neurons_120layers_p8_g1_l5_numa3.txt
Trivial,520,1
refined,520,1
cilk,691,17
BSPg,719,82
BSPgHCCS,578,6
ETF,567,2
BL-EST,579,2
source3_weights_cluster,702,42
source3_weights_clusterHCCS,570,2
ILP,520,1
ILPiter,520,1
0

instance_exp_N18_K10_nzP0d15_p8_g1_l5_numa3.txt
Trivial,1160,1
refined,749,17
cilk,3278,24
BSPg,3101,33
BSPgHCCS,2040,20
ETF,3928,40
BL-EST,2518,31
source3_weights_cluster,3760,25
source3_weights_clusterHCCS,2021,17
ILPiter,1924,17
ILPCS,723,17
0

instance_CG_N6_K5_nzP0d5_p8_g1_l5_numa3.txt
Trivial,914,1
refined,846,8
cilk,3830,32
BSPg,3641,54
BSPgHCCS,1415,20
ETF,1927,37
BL-EST,2124,34
source3_weights_cluster,3167,48
source3_weights_clusterHCCS,970,9
ILPiter,941,9
ILPCS,846,8
0

instance_spmv_N25_nzP0d2_p8_g1_l5_numa3.txt
Trivial,472,1
refined,130,2
cilk,819,7
BSPg,438,3
BSPgHCCS,285,2
ETF,482,3
BL-EST,704,6
source3_weights_cluster,1078,2
source3_weights_clusterHCCS,288,2
ILP,285,2
ILPiter,235,2
0

instance_CG_N8_K3_nzP0d5_p8_g1_l5_numa3.txt
Trivial,881,1
refined,659,16
cilk,3647,25
BSPg,3496,47
BSPgHCCS,1229,17
ETF,3104,24
BL-EST,1603,29
ILPiter,929,17
ILPCS,656,16
0

instance_CG_N5_K4_nzP0d4_p8_g1_l5_numa3.txt
Trivial,556,1
refined,525,10
cilk,2504,23
BSPg,2301,40
BSPgHCCS,861,17
ETF,638,9
BL-EST,657,10
source3_weights_cluster,1697,33
source3_weights_clusterHCCS,616,10
ILPiter,616,10
ILPCS,525,10
0

instance_kNN_N20_K5_nzP0d2_p8_g1_l5_numa3.txt
Trivial,859,1
refined,454,15
cilk,2410,23
BSPg,2333,35
BSPgHCCS,1348,19
ETF,906,17
BL-EST,1028,26
source3_weights_cluster,2647,26
source3_weights_clusterHCCS,883,16
ILPiter,835,16
ILPCS,443,15
0

instance_spmv_N120_nzP0d18_p8_g1_l5_numa3.txt
Trivial,10292,1
refined,2626,2
cilk,17276,30
BSPg,8262,2
BSPgHCCS,7582,2
ETF,10229,3
BL-EST,21264,25
source3_weights_cluster,49744,2
source3_weights_clusterHCCS,9061,2
ILPiter,7582,2
0

instance_kNN_N75_K9_nzP0d15_p8_g1_l5_numa3.txt
Trivial,19111,1
refined,8984,108
cilk,65214,139
BSPg,59125,166
BSPgHCCS,31194,112
