
instance_CG_N7_K7_nzP0d2_p8_g1_l5.txt

instance_kNN_N30_K10_nzP0d15_p8_g1_l5_numa3.txt
Trivial,3673,1
refined,1874,27
cilk,14539,41
BSPg,12144,64
BSPgHCCS,7141,34
ETF,4113,31
BL-EST,4333,68
ILPiter,6769,34
ILPCS,1807,27
0

instance_exp_N35_K4_nzP0d15_p8_g1_l5.txt
Trivial,2232,1
refined,857,27
cilk,2548,32
BSPg,2421,46
BSPgHCCS,1764,34
ETF,2986,40
BL-EST,3075,44
source3_weights_cluster,2929,41
source3_weights_clusterHCCS,1787,26
ILPiter,1759,34
ILPCS,856,27
0

instance_kNN_N55_K14_nzP0d15_p8_g1_l5_numa3.txt
Trivial,17722,1
refined,7563,75
cilk,64319,103
BSPg,48043,122
BSPgHCCS,30777,78
ETF,19690,90
BL-EST,19793,79
ILPiter,30729,78
0

instance_exp_N30_K6_nzP0d15_p8_g1_l5_numa3.txt
Trivial,2423,1
refined,1529,20
cilk,12916,33
BSPg,11135,48
BSPgHCCS,5884,29
ETF,13751,59
BL-EST,12715,51
source3_weights_cluster,11937,44
source3_weights_clusterHCCS,2221,23
ILPiter,2052,23
ILPCS,1529,20
0

instance_spmv_N150_nzP0d2_p8_g1_l5_numa3.txt
Trivial,17726,1
refined,3921,3
cilk,40111,23
BSPg,22917,3
BSPgHCCS,21937,3
ETF,26240,4
BL-EST,56242,17
ILPiter,21937,3
ILPCS,3921,3
0

instance_kNN_N40_K5_nzP0d15_p8_g1_l5.txt
Trivial,2270,1
refined,856,33
cilk,3029,37
BSPg,2848,50
BSPgHCCS,1997,34
ETF,2633,36
BL-EST,2771,39
source3_weights_cluster,3051,48
source3_weights_clusterHCCS,2038,31
ILPiter,1957,34
ILPCS,831,33
0

instance_snni_graphchallenge_1024neurons_120layers_p8_g1_l5_numa3.txt
Trivial,520,1
refined,520,1
cilk,529,2
BSPg,529,47
BSPgHCCS,520,1
ETF,529,2
BL-EST,529,2
ILP,520,1
0

instance_CG_N7_K2_nzP0d6_p8_g1_l5_numa4.txt
Trivial,551,1
refined,551,1
cilk,2706,7
BSPg,3373,27
BSPgHCCS,554,2
ETF,576,2
BL-EST,576,2
ILP,551,1
ILPiter,551,1
0

instance_exp_N25_K4_nzP0d15_p8_g1_l5_numa4.txt
Trivial,1136,1
refined,1124,2
cilk,3358,18
BSPg,9203,43
BSPgHCCS,1128,2
ETF,8729,28
BL-EST,9924,33
ILP,1128,2
ILPiter,1126,2
0

instance_exp_N18_K10_nzP0d15_p8_g1_l5_numa4.txt
Trivial,1160,1
refined,1051,11
cilk,10097,23
BSPg,9487,36
BSPgHCCS,4248,13
ETF,6990,23
BL-EST,2743,21
ILPiter,3874,13
ILPCS,1037,11
0

instance_CG_N25_K17_nzP0d15_p8_g1_l5_numa4.txt
Trivial,12211,1
refined,10535,48
cilk,93866,156
BSPg,107903,293
BSPgHCCS,15990,21
ETF,79195,221
BL-EST,44004,226
source3_weights_cluster,68490,284
source3_weights_clusterHCCS,12644,56
ILPiter,12447,56
ILPCS,10530,48
0

instance_exp_N18_K10_nzP0d15_p8_g1_l5_numa3.txt
Trivial,1160,1
refined,952,10
cilk,6173,23
BSPg,5843,36
BSPgHCCS,3613,16
ETF,4049,20
BL-EST,4700,24
ILPiter,2904,16
ILPCS,944,10
0

instance_kNN_N45_K15_nzP0d16_p8_g1_l5_numa4.txt
Trivial,13623,1
refined,8241,51
cilk,77886,88
BSPg,58947,95
BSPgHCCS,38030,53
ETF,14779,69
BL-EST,15340,130
ILPiter,37685,53
0

instance_kNN_N30_K12_nzP0d15_p8_g1_l5_numa4.txt
Trivial,4591,1
refined,2757,32
cilk,27886,48
BSPg,23800,68
BSPgHCCS,13421,38
ETF,4932,18
BL-EST,4922,16
ILPiter,12682,38
ILPCS,2683,32
0

instance_CG_N6_K5_nzP0d5_p8_g1_l5_numa3.txt
Trivial,914,1
refined,914,1
cilk,2761,13
BSPg,3465,49
BSPgHCCS,914,1
ETF,2058,34
BL-EST,1374,31
ILP,914,1
0

instance_kNN_N30_K8_nzP0d15_p8_g1_l5_numa4.txt
Trivial,2755,1
refined,1655,20
cilk,15930,39
BSPg,16142,57
BSPgHCCS,4780,22
ETF,2891,6
BL-EST,3095,23
ILPiter,4140,22
ILPCS,1651,20
0

instance_kNN_N30_K10_nzP0d15_p8_g1_l5_numa4.txt
Trivial,3673,1
refined,2133,28
cilk,23352,41
