
BSPg,46672,3
BSPgHCCS,46424,3
ETF,76767,9
BL-EST,244432,308
source3_weights_cluster,45022,2
source3_weights_clusterHCCS,44853,2
0

instance_exp_N100_K40_nzP0d2_p8_g1_l5_numa4.txt
Trivial,234114,1
cilk,250200,949
BSPg,146659,62
BSPgHCCS,134715,62
ETF,377306,3831
BL-EST,417197,5002
source3_weights_cluster,163310,80
source3_weights_clusterHCCS,150377,80
0

conjugate_gradient_gyro_m_p8_g1_l5_numa4.txt
Trivial,86819,1
cilk,171837,3985
BSPg,275104,19897
BSPgHCCS,180577,5972
ETF,183008,4219
BL-EST,247084,5849
source3_weights_cluster,199481,11940
0

hpcg_p8_g1_l5_numa4.txt
Trivial,209434,1
cilk,414554,6400
BSPg,393409,6260
BSPgHCCS,370728,6236
ETF,421225,9392
BL-EST,481838,11887
source3_weights_cluster,394634,7873
0

instance_kNN_N250_K15_nzP0d1_p8_g1_l5_numa4.txt
Trivial,260483,1
cilk,261897,594
BSPg,180527,22
BSPgHCCS,169283,22
ETF,436645,3104
BL-EST,519262,4557
source3_weights_cluster,181079,30
source3_weights_clusterHCCS,174959,30
0

instance_kNN_N100_K50_nzP0d1_p8_g1_l5_numa4.txt
Trivial,152788,1
cilk,149562,650
BSPg,92944,69
BSPgHCCS,84520,69
ETF,297128,4218
BL-EST,426186,6678
source3_weights_cluster,123109,100
source3_weights_clusterHCCS,110499,100
0

instance_exp_N75_K60_nzP0d15_p8_g1_l5_numa4.txt
Trivial,147409,1
cilk,158142,816
BSPg,89589,77
BSPgHCCS,81829,77
ETF,274785,4010
BL-EST,325195,5898
source3_weights_cluster,121333,120
source3_weights_clusterHCCS,97172,120
0

bicgstab_gyro_m_p8_g1_l5_numa4.txt
Trivial,95531,1
cilk,195817,5739
BSPg,251740,10097
BSPgHCCS,184797,5822
ETF,232555,5749
BL-EST,323926,7431
source3_weights_cluster,236982,9465
0

instance_CG_N60_K55_nzP0d12_p8_g1_l5_numa4.txt
Trivial,128259,1
cilk,216371,1617
BSPg,137714,490
BSPgHCCS,118804,327
ETF,158715,1071
BL-EST,188882,3785
source3_weights_cluster,177282,497
source3_weights_clusterHCCS,128996,442
0

bicgstab_gyro_m_p16_g1_l5_numa2.txt
Trivial,95531,1
cilk,120313,5740
BSPg,173552,10099
BSPgHCCS,130001,5607
ETF,133124,5382
BL-EST,230019,10434
source3_weights_cluster,153263,9468
0

instance_exp_N100_K40_nzP0d2_p16_g1_l5_numa2.txt
Trivial,234114,1
cilk,134706,945
BSPg,62035,76
BSPgHCCS,56320,76
ETF,265503,3534
BL-EST,366102,5093
source3_weights_cluster,67158,80
source3_weights_clusterHCCS,61130,80
0

instance_kNN_N250_K15_nzP0d1_p16_g1_l5_numa2.txt
Trivial,260483,1
cilk,123784,645
BSPg,68159,25
BSPgHCCS,65057,25
ETF,315734,3023
BL-EST,407677,4362
source3_weights_cluster,67482,30
source3_weights_clusterHCCS,65584,30
0

instance_spmv_N300_nzP0d3_p16_g1_l5_numa2.txt
Trivial,107700,1
cilk,49506,198
BSPg,17619,3
BSPgHCCS,17433,3
ETF,29698,20
BL-EST,137734,236
source3_weights_cluster,16130,2
source3_weights_clusterHCCS,16056,2
0

instance_kNN_N100_K50_nzP0d1_p16_g1_l5_numa2.txt
Trivial,152788,1
cilk,76593,667
BSPg,39300,81
BSPgHCCS,35608,81
ETF,189123,4181
BL-EST,311000,5625
source3_weights_cluster,45618,100
source3_weights_clusterHCCS,41397,100
0

instance_CG_N120_K35_nzP0d11_p16_g1_l5_numa2.txt
Trivial,243660,1
cilk,201894,2326
BSPg,107268,314
BSPgHCCS,97918,212
ETF,258949,1351
BL-EST,260818,4700
source3_weights_cluster,126456,317
source3_weights_clusterHCCS,109182,317
0

conjugate_gradient_gyro_m_p16_g1_l5_numa2.txt
Trivial,86819,1
cilk,122600,3985
BSPg,217156,19897
BSPgHCCS,148344,6966
ETF,149903,5348
BL-EST,163380,5706
source3_weights_cluster,161473,10945
0

instance_CG_N60_K55_nzP0d12_p16_g1_l5_numa2.txt
Trivial,128259,1
cilk,119025,1372
BSPg,78110,494
BSPgHCCS,66712,329
ETF,113588,1387
BL-EST,140238,3587
source3_weights_cluster,85378,496
source3_weights_clusterHCCS,69049,441
0

