
instance_spmv_N50_nzP0d1_p8_g3_l5.txt
Trivial,998,1
cilk,683,22
BSPg,280,3
ETF,431,15
BL-EST,757,30
source3_weights_cluster,254,2
ILPInit,576,159
0

instance_CG_N4_K2_nzP0d5_p4_g5_l5.txt
Trivial,206,1
cilk,353,15
BSPg,310,17
ETF,331,14
BL-EST,389,15
source3_weights_cluster,422,20
ILPInit,237,9
0

instance_kNN_N4_K2_nzP0d5_p4_g1_l5.txt
Trivial,23,1
cilk,31,4
BSPg,27,5
ETF,33,4
BL-EST,35,4
source3_weights_cluster,34,4
ILPInit,23,3
0

instance_kNN_N30_K12_nzP0d1_p8_g1_l5.txt
Trivial,2813,1
cilk,1111,64
BSPg,661,15
ETF,1440,90
BL-EST,3261,185
source3_weights_cluster,869,24
ILPInit,1342,347
0

instance_kNN_N15_K7_nzP0d2_p4_g3_l5.txt
Trivial,706,1
cilk,633,25
BSPg,450,8
ETF,726,30
BL-EST,1157,45
source3_weights_cluster,638,14
ILPInit,416,24
0

instance_spmv_N15_nzP0d25_p16_g1_l5.txt
Trivial,247,1
cilk,91,7
BSPg,44,3
ETF,74,6
BL-EST,103,8
source3_weights_cluster,46,2
ILPInit,242,147
0

instance_spmv_N10_nzP0d3_p16_p16_g1_l5.txt
Trivial,110,1
cilk,50,5
BSPg,34,3
ETF,39,4
BL-EST,51,5
source3_weights_cluster,32,2
ILPInit,121,67
0

instance_CG_N15_K10_nzP0d2_p16_g3_l5.txt
Trivial,4076,1
cilk,3531,93
BSPg,2998,90
ETF,4469,130
BL-EST,4940,147
source3_weights_cluster,3335,91
ILPInit,6417,1950
0

instance_exp_N10_K7_nzP0d25_p8_g5_l5.txt
Trivial,391,1
cilk,473,27
BSPg,258,9
ETF,423,18
BL-EST,565,20
source3_weights_cluster,353,13
ILPInit,321,56
0

instance_spmv_N15_nzP0d25_p4_g1_l5.txt
Trivial,247,1
cilk,157,9
BSPg,95,3
ETF,103,4
BL-EST,188,13
source3_weights_cluster,99,2
ILPInit,100,12
0

instance_kNN_N4_K2_nzP0d5_p4_g3_l5.txt
Trivial,23,1
cilk,43,4
BSPg,33,5
ETF,38,3
BL-EST,38,3
source3_weights_cluster,40,4
ILPInit,23,3
0

