Graph,Machine,Algorithm,TimeToCompute(ms),BspCost,CommCost,Supersteps,WorkCost,avg_wavefront_size,num_edges,num_vertices
asia.uai.psdd,p16_g4_l20,GreedyRecomputerMask2,7,42,0,1,42,8.600000,62,43
asia.uai.psdd,p16_g4_l20,GreedyRecomputerMask4,15,108,96,4,12,8.600000,62,43
asia.uai.psdd,p16_g4_l20,GreedyBspHC,5,130,120,5,10,8.600000,62,43
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask0,909580,466686,289016,8240,177670,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask1,927380,464511,286504,8240,178007,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask3,950535,433256,252652,6003,180604,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask7,1027919,432303,251564,6000,180739,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask2,930943,436488,256204,5972,180284,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyRecomputerMask4,949882,466538,288848,8234,177690,7.083473,772886,101492
2cubes_sphere,p16_g4_l20,GreedyBspHC,906355,558836,381224,8505,177612,7.083473,772886,101492
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask0,269,2822,2284,35,538,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask1,285,2783,2236,35,547,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask3,418,2649,2064,28,585,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask7,828,2649,2064,28,585,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask2,365,2693,2112,30,581,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyRecomputerMask4,475,2788,2236,33,552,32.000000,3996,1888
instance_CG_N21_K5_nzP0d3,p16_g4_l20,GreedyBspHC,241,2974,2436,36,538,32.000000,3996,1888
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask0,702,1660,1388,6,272,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask1,870,1332,952,6,380,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask3,957,1238,620,4,618,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask7,1573,1238,620,4,618,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask2,813,1238,620,4,618,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyRecomputerMask4,959,1660,1388,6,272,848.000000,6908,4240
msnbc-yitao-d.psdd,p16_g4_l20,GreedyBspHC,646,1664,1392,6,272,848.000000,6908,4240
smt,p16_g4_l20,GreedyRecomputerMask0,198818,482298,62812,952,419486,5.519536,1863737,25710
smt,p16_g4_l20,GreedyRecomputerMask1,203588,481677,62112,952,419565,5.519536,1863737,25710
smt,p16_g4_l20,GreedyRecomputerMask3,213741,477357,59436,810,417921,5.519536,1863737,25710
smt,p16_g4_l20,GreedyRecomputerMask7,294770,477396,59424,813,417972,5.519536,1863737,25710
smt,p16_g4_l20,GreedyRecomputerMask2,210052,478086,60264,808,417822,5.519536,1863737,25710
smt,p16_g4_l20,GreedyRecomputerMask4,259659,482103,62616,949,419487,5.519536,1863737,25710
smt,p16_g4_l20,GreedyBspHC,191083,533428,112964,1093,420464,5.519536,1863737,25710
c20ng.psdd,p16_g4_l20,GreedyRecomputerMask0,4321,6393,4740,15,1653,626.731707,56622,25696
c20ng.psdd,p16_g4_l20,GreedyRecomputerMask1,6258,5288,3304,15,1984,626.731707,56622,25696
c20ng.psdd,p16_g4_l20,GreedyRecomputerMask3,7269,5237,3248,13,1989,626.731707,56622,25696
c20ng.psdd,p16_g4_l20,GreedyRecomputerMask7,12655,5238,3248,13,1990,626.731707,56622,25696
c20ng.psdd,p16_g4_l20,GreedyRecomputerMask2,5492,5331,2704,12,2627,626.731707,56622,25696
c20ng.psdd,p16_g4_l20,GreedyRecomputerMask4,8141,6393,4740,15,1653,626.731707,56622,25696
c20ng.psdd,p16_g4_l20,GreedyBspHC,3920,6965,5312,15,1653,626.731707,56622,25696
instance_hpcg,p16_g4_l20,GreedyRecomputerMask0,31388,267194,207468,6236,59726,8.626276,193610,72685
instance_hpcg,p16_g4_l20,GreedyRecomputerMask1,226609,265293,223884,6236,41409,8.626276,193610,72685
instance_hpcg,p16_g4_l20,GreedyRecomputerMask3,348125,156673,10172,229,146501,8.626276,193610,72685
instance_hpcg,p16_g4_l20,GreedyRecomputerMask7,463113,156591,10000,228,146591,8.626276,193610,72685
instance_hpcg,p16_g4_l20,GreedyRecomputerMask2,148266,157102,10136,166,146966,8.626276,193610,72685
instance_hpcg,p16_g4_l20,GreedyRecomputerMask4,43964,267189,207460,6236,59729,8.626276,193610,72685
instance_hpcg,p16_g4_l20,GreedyBspHC,29620,267515,226980,6238,40535,8.626276,193610,72685
instance_CG_N17_K8_nzP0d25,p16_g4_l20,GreedyRecomputerMask0,286,3802,3152,51,650,20.800000,4134,1976
instance_CG_N17_K8_nzP0d25,p16_g4_l20,GreedyRecomputerMask1,301,3756,3100,50,656,20.800000,4134,1976
instance_CG_N17_K8_nzP0d25,p16_g4_l20,GreedyRecomputerMask3,440,3598,2872,41,726,20.800000,4134,1976
instance_CG_N17_K8_nzP0d25,p16_g4_l20,GreedyRecomputerMask7,876,3586,2860,41,726,20.800000,4134,1976
instance_CG_N17_K8_nzP0d25,p16_g4_l20,GreedyRecomputerMask2,454,3599,2836,38,763,20.800000,4134,1976
instance_CG_N17_K8_nzP0d25,p16_g4_l20,GreedyRecomputerMask4,608,3775,3112,49,663,20.800000,4134,1976
instance_CG_N17_K8_nzP0d25,p16_g4_l20,GreedyBspHC,257,3925,3276,54,649,20.800000,4134,1976
kdd-6k.psdd,p16_g4_l20,GreedyRecomputerMask0,435,1137,956,11,181,134.300000,6527,2686
kdd-6k.psdd,p16_g4_l20,GreedyRecomputerMask1,489,1010,788,11,222,134.300000,6527,2686
kdd-6k.psdd,p16_g4_l20,GreedyRecomputerMask3,594,987,760,10,227,134.300000,6527,2686
kdd-6k.psdd,p16_g4_l20,GreedyRecomputerMask7,1263,983,752,10,231,134.300000,6527,2686
kdd-6k.psdd,p16_g4_l20,GreedyRecomputerMask2,513,1057,836,10,221,134.300000,6527,2686
kdd-6k.psdd,p16_g4_l20,GreedyRecomputerMask4,765,1134,952,11,182,134.300000,6527,2686
kdd-6k.psdd,p16_g4_l20,GreedyBspHC,401,1329,1148,11,181,134.300000,6527,2686
instance_spmv_N300_nzP0d3,p16_g4_l20,GreedyRecomputerMask0,8024,14288,7528,3,6760,27150.000000,80550,54300
instance_spmv_N300_nzP0d3,p16_g4_l20,GreedyRecomputerMask1,10276,13565,6564,3,7001,27150.000000,80550,54300
instance_spmv_N300_nzP0d3,p16_g4_l20,GreedyRecomputerMask3,11322,11790,0,1,11790,27150.000000,80550,54300
instance_spmv_N300_nzP0d3,p16_g4_l20,GreedyRecomputerMask7,19792,11790,0,1,11790,27150.000000,80550,54300
instance_spmv_N300_nzP0d3,p16_g4_l20,GreedyRecomputerMask2,9429,11790,0,1,11790,27150.000000,80550,54300
instance_spmv_N300_nzP0d3,p16_g4_l20,GreedyRecomputerMask4,15690,14288,7528,3,6760,27150.000000,80550,54300
instance_spmv_N300_nzP0d3,p16_g4_l20,GreedyBspHC,7211,14364,7604,3,6760,27150.000000,80550,54300
instance_exp_N70_K5_nzP0d18,p16_g4_l20,GreedyRecomputerMask0,1104,2965,2068,10,897,555.000000,12825,5550
instance_exp_N70_K5_nzP0d18,p16_g4_l20,GreedyRecomputerMask1,1363,2521,1492,10,1029,555.000000,12825,5550
instance_exp_N70_K5_nzP0d18,p16_g4_l20,GreedyRecomputerMask3,1786,2422,1192,8,1230,555.000000,12825,5550
instance_exp_N70_K5_nzP0d18,p16_g4_l20,GreedyRecomputerMask7,3384,2422,1192,8,1230,555.000000,12825,5550
instance_exp_N70_K5_nzP0d18,p16_g4_l20,GreedyRecomputerMask2,1453,2712,1544,8,1168,555.000000,12825,5550
instance_exp_N70_K5_nzP0d18,p16_g4_l20,GreedyRecomputerMask4,1461,2965,2068,10,897,555.000000,12825,5550
instance_exp_N70_K5_nzP0d18,p16_g4_l20,GreedyBspHC,1002,3137,2240,10,897,555.000000,12825,5550
asia-bdd.psdd,p16_g4_l20,GreedyRecomputerMask0,13,170,152,6,18,7.142857,104,50
asia-bdd.psdd,p16_g4_l20,GreedyRecomputerMask1,13,135,112,5,23,7.142857,104,50
asia-bdd.psdd,p16_g4_l20,GreedyRecomputerMask3,14,49,0,1,49,7.142857,104,50
asia-bdd.psdd,p16_g4_l20,GreedyRecomputerMask7,23,49,0,1,49,7.142857,104,50
asia-bdd.psdd,p16_g4_l20,GreedyRecomputerMask2,14,49,0,1,49,7.142857,104,50
asia-bdd.psdd,p16_g4_l20,GreedyRecomputerMask4,20,170,152,6,18,7.142857,104,50
asia-bdd.psdd,p16_g4_l20,GreedyBspHC,12,180,164,6,16,7.142857,104,50
instance_CG_N12_K10_nzP0d2,p16_g4_l20,GreedyRecomputerMask0,167,3882,3316,62,566,12.831933,3089,1527
instance_CG_N12_K10_nzP0d2,p16_g4_l20,GreedyRecomputerMask1,181,3845,3276,61,569,12.831933,3089,1527
instance_CG_N12_K10_nzP0d2,p16_g4_l20,GreedyRecomputerMask3,321,2842,2208,33,634,12.831933,3089,1527
instance_CG_N12_K10_nzP0d2,p16_g4_l20,GreedyRecomputerMask7,606,2791,2156,33,635,12.831933,3089,1527
instance_CG_N12_K10_nzP0d2,p16_g4_l20,GreedyRecomputerMask2,312,2890,2272,34,618,12.831933,3089,1527
instance_CG_N12_K10_nzP0d2,p16_g4_l20,GreedyRecomputerMask4,422,3865,3292,61,573,12.831933,3089,1527
instance_CG_N12_K10_nzP0d2,p16_g4_l20,GreedyBspHC,147,4014,3448,63,566,12.831933,3089,1527
instance_bicgstab_gyro_m,p16_g4_l20,GreedyRecomputerMask0,908170,148596,110000,3709,38596,4.970294,80373,50195
instance_bicgstab_gyro_m,p16_g4_l20,GreedyRecomputerMask1,909450,148569,109972,3708,38597,4.970294,80373,50195
instance_bicgstab_gyro_m,p16_g4_l20,GreedyRecomputerMask3,918105,91548,44648,892,46900,4.970294,80373,50195
instance_bicgstab_gyro_m,p16_g4_l20,GreedyRecomputerMask7,960853,89118,39188,801,49930,4.970294,80373,50195
instance_bicgstab_gyro_m,p16_g4_l20,GreedyRecomputerMask2,913254,101836,54808,858,47028,4.970294,80373,50195
instance_bicgstab_gyro_m,p16_g4_l20,GreedyRecomputerMask4,921233,137958,99020,3280,38938,4.970294,80373,50195
instance_bicgstab_gyro_m,p16_g4_l20,GreedyBspHC,906973,160096,121500,4867,38596,4.970294,80373,50195
instance_CG_N24_K22_nzP0d2,p16_g4_l20,GreedyRecomputerMask0,1163,12889,10560,153,2329,28.072243,16145,7383
instance_CG_N24_K22_nzP0d2,p16_g4_l20,GreedyRecomputerMask1,1213,12845,10508,153,2337,28.072243,16145,7383
instance_CG_N24_K22_nzP0d2,p16_g4_l20,GreedyRecomputerMask3,1544,12704,10312,144,2392,28.072243,16145,7383
instance_CG_N24_K22_nzP0d2,p16_g4_l20,GreedyRecomputerMask7,2710,12704,10312,144,2392,28.072243,16145,7383
instance_CG_N24_K22_nzP0d2,p16_g4_l20,GreedyRecomputerMask2,1532,12735,10344,144,2391,28.072243,16145,7383
instance_CG_N24_K22_nzP0d2,p16_g4_l20,GreedyRecomputerMask4,1964,12871,10536,152,2335,28.072243,16145,7383
instance_CG_N24_K22_nzP0d2,p16_g4_l20,GreedyBspHC,1062,13137,10808,156,2329,28.072243,16145,7383
instance_exp_N30_K10_nzP0d18,p16_g4_l20,GreedyRecomputerMask0,280,1309,984,18,325,97.500000,4443,1950
instance_exp_N30_K10_nzP0d18,p16_g4_l20,GreedyRecomputerMask1,321,1201,848,18,353,97.500000,4443,1950
instance_exp_N30_K10_nzP0d18,p16_g4_l20,GreedyRecomputerMask3,397,1150,760,16,390,97.500000,4443,1950
instance_exp_N30_K10_nzP0d18,p16_g4_l20,GreedyRecomputerMask7,745,1150,760,16,390,97.500000,4443,1950
instance_exp_N30_K10_nzP0d18,p16_g4_l20,GreedyRecomputerMask2,345,1250,872,16,378,97.500000,4443,1950
instance_exp_N30_K10_nzP0d18,p16_g4_l20,GreedyRecomputerMask4,387,1309,984,18,325,97.500000,4443,1950
instance_exp_N30_K10_nzP0d18,p16_g4_l20,GreedyBspHC,249,1453,1128,18,325,97.500000,4443,1950
msnbc-yitao-b.psdd,p16_g4_l20,GreedyRecomputerMask0,1048,2147,1724,6,423,1318.000000,8870,6590
msnbc-yitao-b.psdd,p16_g4_l20,GreedyRecomputerMask1,1449,1645,1056,6,589,1318.000000,8870,6590
msnbc-yitao-b.psdd,p16_g4_l20,GreedyRecomputerMask3,1576,1525,620,4,905,1318.000000,8870,6590
msnbc-yitao-b.psdd,p16_g4_l20,GreedyRecomputerMask7,2525,1525,620,4,905,1318.000000,8870,6590
msnbc-yitao-b.psdd,p16_g4_l20,GreedyRecomputerMask2,1208,1525,620,4,905,1318.000000,8870,6590
msnbc-yitao-b.psdd,p16_g4_l20,GreedyRecomputerMask4,1439,2147,1724,6,423,1318.000000,8870,6590
msnbc-yitao-b.psdd,p16_g4_l20,GreedyBspHC,959,2163,1740,6,423,1318.000000,8870,6590
nltcs.psdd,p16_g4_l20,GreedyRecomputerMask0,437,1965,1664,7,301,584.500000,10592,4676
nltcs.psdd,p16_g4_l20,GreedyRecomputerMask1,530,1812,1468,6,344,584.500000,10592,4676
